t,x,xdot
33.1,-1.77457,0.82041
33.2,-1.70287,0.890964
33.3,-1.62531,0.959796
33.4,-1.54194,1.02893
33.5,-1.45264,1.10014
33.6,-1.35714,1.17502
33.7,-1.25505,1.25504
33.8,-1.14584,1.34159
33.9,-1.02887,1.43596
34,-0.903382,1.53926
34.1,-0.768536,1.6523
34.2,-0.623447,1.77528
34.3,-0.46726,1.90747
34.4,-0.299281,2.04654
34.5,-0.119179,2.18782
34.6,0.0727274,2.32339
34.7,0.27511,2.44144
34.8,0.485271,2.52625
34.9,0.698924,2.5597
35,0.910337,2.52471
35.1,1.11293,2.41014
35.2,1.30028,2.21539
35.3,1.46707,1.95214
35.4,1.60976,1.64189
35.5,1.72665,1.31038
35.6,1.81769,0.981614
35.7,1.88401,0.673744
35.8,1.92758,0.397671
35.9,1.95084,0.157701
36,1.95635,-0.0467118
36.1,1.94661,-0.21906
36.2,1.92384,-0.36422
36.3,1.88997,-0.487388
36.4,1.84656,-0.593473
36.5,1.79484,-0.686819
36.6,1.7357,-0.771142
36.7,1.6698,-0.849567
36.8,1.59756,-0.924726
36.9,1.51918,-0.99886
37,1.43472,-1.07391
37.1,1.34407,-1.15163
37.2,1.24699,-1.23358
37.3,1.14315,-1.32123
37.4,1.03205,-1.41593
37.5,0.913147,-1.51884
37.6,0.785776,-1.63087
37.7,0.64922,-1.75241
37.8,0.502734,-1.88308
37.9,0.345604,-2.02122
38,0.177235,-2.16322
38.1,-0.00271735,-2.30279
38.2,-0.194152,-2.43015
38.3,-0.396268,-2.53159
38.4,-0.607226,-2.58994
38.5,-0.823769,-2.58651
38.6,-1.04091,-2.50498
38.7,-1.25189,-2.33671
38.8,-1.44871,-2.08555
38.9,-1.62343,-1.76943
39,-1.76971,-1.41665
39.1,-1.88422,-1.05833
39.2,-1.96688,-0.720421
39.3,-2.02016,-0.419327
39.4,-2.04796,-0.161638
39.5,-2.05451,0.053343
39.6,-2.04372,0.230484
39.7,-2.01887,0.37631
39.8,-1.98253,0.497459
39.9,-1.93668,0.599907
40,-1.88275,0.688716
40.1,-1.82175,0.768036
40.2,-1.75433,0.841236
40.3,-1.68092,0.91106
40.4,-1.60167,0.979786
40.5,-1.51659,1.04935
40.6,-1.42552,1.12147
40.7,-1.32815,1.19769
40.8,-1.22405,1.27947
40.9,-1.11266,1.36817
41,-0.993295,1.46504
41.1,-0.865175,1.5711
41.2,-0.727443,1.68704
41.3,-0.57921,1.81284
41.4,-0.419655,1.94736
41.5,-0.248162,2.08768
41.6,-0.0645576,2.22827
41.7,0.130587,2.36015
41.8,0.335578,2.47031
41.9,0.547266,2.54209
42,0.760913,2.55724
42.1,0.970454,2.49986
42.2,1.16925,2.36149
42.3,1.35109,2.1451
42.4,1.51116,1.86566
42.5,1.64644,1.54655
42.6,1.75576,1.21356
42.7,1.83944,0.889315
42.8,1.89892,0.589886
42.9,1.93633,0.324119
43,1.95416,0.0947101
43.1,1.95499,-0.0999318
43.2,1.94124,-0.263842
43.3,1.91506,-0.402076
43.4,1.87827,-0.519792
43.5,1.83233,-0.621753
43.6,1.77837,-0.71212
43.7,1.71721,-0.794429
43.8,1.64944,-0.871653
43.9,1.57539,-0.946297
44,1.49525,-1.02051
44.1,1.409,-1.09616
44.2,1.31651,-1.17495
44.3,1.21751,-1.25842
44.4,1.11161,-1.34799
44.5,0.998311,-1.44496
44.6,0.877014,-1.55045
44.7,0.747048,-1.66523
44.8,0.607682,-1.78951
44.9,0.458172,-1.9226
45,0.297826,-2.06233
45.1,0.126109,-2.20442
45.2,-0.0572181,-2.34162
45.3,-0.251881,-2.46302
45.4,-0.456813,-2.55382
45.5,-0.669803,-2.59612
45.6,-0.887115,-2.57143
45.7,-1.10323,-2.46509
45.8,-1.31095,-2.27168
45.9,-1.50212,-1.99922
46,-1.66911,-1.66922
